id,cid,collection_name,path,hash,size,lastModifiedNano,attachmentId,directoryId,filename,rootCid,pieceCid
28,bafkreidvqgiez5icvg4ijafhlmu7b6zdtsszavsskl6jpjczakngvjrtoa,cbp,temp,,621755,1709249107291652900,1,5,cpb_waterquality_2003_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
29,bafkreidazvae3xqngiwmr5uvhxx2eklwcodbhx3bfrcz4cfymyu5t5bqlm,cbp,temp,,647739,1709249108684066300,1,5,cpb_waterquality_2003_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
30,bafkreihchjkky4nzwfzvsbxdxe34fjbj2jxj4ookrwe3alhmwjg4a4dorq,cbp,temp,,508755,1709249110055369800,1,5,cpb_waterquality_2004_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
32,bafkreiel3k57m2vkmqy6yfycpbekliwvijutu5n5llskzhhbsqszqjty3u,cbp,temp,,814525,1709249112937197700,1,5,cpb_waterquality_2004_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
33,bafybeiezklz5uv5hok4dsay5uc7iyv5lswzydzvki5e7isyalk6pbgxc6u,cbp,temp,,1154970,1709249114611897400,1,5,cpb_waterquality_2004_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
34,bafybeiaijmoixq4clsw5ubwtr4j5vtisukt35eia22qmgw2ldsm3psuaue,cbp,temp,,1235579,1709249116340727700,1,5,cpb_waterquality_2004_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
36,bafybeianvccme2ru7bjsrrdjv4bke52ullz6zcccmxjmiiq6y6mhvhbx6m,cbp,temp,,1484660,1709249120012120300,1,5,cpb_waterquality_2004_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
37,bafybeicjk6o7fjhm5h4ka22rlq7wcqy4eflctwh44hgbsq2nteoa5euoyy,cbp,temp,,1520472,1709249121866245000,1,5,cpb_waterquality_2004_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
38,bafybeiah6ljrcdyfdszpgdnvl5jzbzftcw6b345yxvfdth24couv6gmhza,cbp,temp,,1233324,1709249123576628700,1,5,cpb_waterquality_2004_09.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
40,bafkreic5luq35uml3zhp4e7kaptunmcifqsbdkjx7vht4exhhkxbpcxjqu,cbp,temp,,719870,1709249126764108800,1,5,cpb_waterquality_2004_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
41,bafkreiefce4h5t5fcbnbrkkahhjc4xlwkr5rgvqaaws4sxg7g7aanrj3bu,cbp,temp,,681298,1709249128185252300,1,5,cpb_waterquality_2004_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
42,bafkreidnspkm7xdlldulwxyam2r4r2jbc2g5azixusfclvuqjf3yszcwse,cbp,temp,,668594,1709249129613451900,1,5,cpb_waterquality_2005_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
44,bafkreidssn6ps6bg4tzudbvp3ndgqfm5ysu33lglfxof2u6kupsw4a3mym,cbp,temp,,831577,1709249132658812800,1,5,cpb_waterquality_2005_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
45,bafybeiglejthfbo5z4zmviujy45pgf42qxfnvu3u367oh4gz6iyrrinxv4,cbp,temp,,1449763,1709249134550760400,1,5,cpb_waterquality_2005_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
46,bafybeihf3fqiknxusxagufrewczpbxjkestsvzfyzr2rclyucizs2q65ia,cbp,temp,,1508482,1709249136487976900,1,5,cpb_waterquality_2005_05.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
48,bafybeiaqzny4pbcidsg3jxgeb44lnz7wfy4fhx6nyloorcalpzzccwlwgq,cbp,temp,,1734500,1709249140369726400,1,5,cpb_waterquality_2005_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
49,bafybeidnbd45crw76mkiviq4xv3yw3hzja7pvtx2ds6xawymo2mokcoari,cbp,temp,,1659992,1709249142234672100,1,5,cpb_waterquality_2005_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
